実施回,問題とタイトル,質問内容,成否（各アンサー）,選択肢,解説,画像URL
第34回：令和３年度（2022年）,問題67 介護過程,"次の事例を読んで、問いに答えなさい。, 〔事例：問題67、問題68〕Ｄさん（73歳、女性、要介護２）は、認知症対応型共同生活介護（認知症高齢者グループホーム）に入居した。入居後、本人の同意のもとに短期目標を、「食事の準備に参加する」と設定し、順調に経過していた。ある日、Ｄさんが夕食の準備に来なかった。翌日、担当する介護福祉職が居室を訪ねて理由を聞くと、「盛り付けの見た目が・・・」と小声で言った。当日のＤさんの記録を見ると、「お茶を配ると席に座ったが、すぐに立ち上がり、料理を皿に盛り付けるＥさんの手元を見ていた」「配膳された料理を見て、ため息をついた」とあった。その後、食事の準備には参加していないが、早く来て様子を見ている。また、食事中は談笑し、食事も完食している。以上のことから再アセスメントを行うことになった。, 〔問題〕Ｄさんの再アセスメントに関する次の記述のうち、最も適切なものを１つ選びなさい。",4 不正解,安心して食事ができているかを分析する。,食事中は談笑し、食事も完食しているため、Ｄさんは安心して食事をしていると考えられる。安心して食事ができているかを分析するのは、再アセスメントとして適切ではない。,
第34回：令和３年度（2022年）,問題67 介護過程,"次の事例を読んで、問いに答えなさい。, 〔事例：問題67、問題68〕Ｄさん（73歳、女性、要介護２）は、認知症対応型共同生活介護（認知症高齢者グループホーム）に入居した。入居後、本人の同意のもとに短期目標を、「食事の準備に参加する」と設定し、順調に経過していた。ある日、Ｄさんが夕食の準備に来なかった。翌日、担当する介護福祉職が居室を訪ねて理由を聞くと、「盛り付けの見た目が・・・」と小声で言った。当日のＤさんの記録を見ると、「お茶を配ると席に座ったが、すぐに立ち上がり、料理を皿に盛り付けるＥさんの手元を見ていた」「配膳された料理を見て、ため息をついた」とあった。その後、食事の準備には参加していないが、早く来て様子を見ている。また、食事中は談笑し、食事も完食している。以上のことから再アセスメントを行うことになった。, 〔問題〕Ｄさんの再アセスメントに関する次の記述のうち、最も適切なものを１つ選びなさい。",5 不正解,Ｅさんに料理の盛り付けを学びたいと解釈する。,Ｄさんは、Ｅさんが盛り付ける手元を見たり、配膳された料理を見てため息をついたりしていることから、Ｅさんの盛り付けが気に入らないと考えられる。Ｅさんに料理の盛り付けを学びたいと解釈するのは、適切ではない。,
第34回：令和３年度（2022年）,問題68 介護過程,"次の事例を読んで、問いに答えなさい。, 〔事例：問題67、問題68〕Ｄさん（73歳、女性、要介護２）は、認知症対応型共同生活介護（認知症高齢者グループホーム）に入居した。入居後、本人の同意のもとに短期目標を、「食事の準備に参加する」と設定し、順調に経過していた。ある日、Ｄさんが夕食の準備に来なかった。翌日、担当する介護福祉職が居室を訪ねて理由を聞くと、「盛り付けの見た目が・・・」と小声で言った。当日のＤさんの記録を見ると、「お茶を配ると席に座ったが、すぐに立ち上がり、料理を皿に盛り付けるＥさんの手元を見ていた」「配膳された料理を見て、ため息をついた」とあった。その後、食事の準備には参加していないが、早く来て様子を見ている。また、食事中は談笑し、食事も完食している。以上のことから再アセスメントを行うことになった。, 〔問題〕カンファレンス（conference）が開かれ、Ｄさんの支援について検討することになった。Ｄさんを担当する介護福祉職が提案する内容として、最も優先すべきものを１つ選びなさい。",1 不正解,食器の満足度を調べること。,Dさんは、「盛り付けの見た目が」と言っていることから、食器には不満はないと考えられる。食器の満足度を調べることを提案するのは、適切ではない。,
第34回：令和３年度（2022年）,問題68 介護過程,"次の事例を読んで、問いに答えなさい。, 〔事例：問題67、問題68〕Ｄさん（73歳、女性、要介護２）は、認知症対応型共同生活介護（認知症高齢者グループホーム）に入居した。入居後、本人の同意のもとに短期目標を、「食事の準備に参加する」と設定し、順調に経過していた。ある日、Ｄさんが夕食の準備に来なかった。翌日、担当する介護福祉職が居室を訪ねて理由を聞くと、「盛り付けの見た目が・・・」と小声で言った。当日のＤさんの記録を見ると、「お茶を配ると席に座ったが、すぐに立ち上がり、料理を皿に盛り付けるＥさんの手元を見ていた」「配膳された料理を見て、ため息をついた」とあった。その後、食事の準備には参加していないが、早く来て様子を見ている。また、食事中は談笑し、食事も完食している。以上のことから再アセスメントを行うことになった。, 〔問題〕カンファレンス（conference）が開かれ、Ｄさんの支援について検討することになった。Ｄさんを担当する介護福祉職が提案する内容として、最も優先すべきものを１つ選びなさい。",2 不正解,昼食時だけでも計画を継続すること。,Dさんは、食事の準備に参加していないとあるので、昼食であれば参加するということではないと考えられる。,
第34回：令和３年度（2022年）,問題68 介護過程,"次の事例を読んで、問いに答えなさい。, 〔事例：問題67、問題68〕Ｄさん（73歳、女性、要介護２）は、認知症対応型共同生活介護（認知症高齢者グループホーム）に入居した。入居後、本人の同意のもとに短期目標を、「食事の準備に参加する」と設定し、順調に経過していた。ある日、Ｄさんが夕食の準備に来なかった。翌日、担当する介護福祉職が居室を訪ねて理由を聞くと、「盛り付けの見た目が・・・」と小声で言った。当日のＤさんの記録を見ると、「お茶を配ると席に座ったが、すぐに立ち上がり、料理を皿に盛り付けるＥさんの手元を見ていた」「配膳された料理を見て、ため息をついた」とあった。その後、食事の準備には参加していないが、早く来て様子を見ている。また、食事中は談笑し、食事も完食している。以上のことから再アセスメントを行うことになった。, 〔問題〕カンファレンス（conference）が開かれ、Ｄさんの支援について検討することになった。Ｄさんを担当する介護福祉職が提案する内容として、最も優先すべきものを１つ選びなさい。",3 不正解,居室での食事に変更すること。,食事中は談笑し、食事も完食しているため、入所しているメンバーと食事することに不満はないと考えられる。居室での食事に変更することを提案するのは、適切ではない。,
第34回：令和３年度（2022年）,問題68 介護過程,"次の事例を読んで、問いに答えなさい。, 〔事例：問題67、問題68〕Ｄさん（73歳、女性、要介護２）は、認知症対応型共同生活介護（認知症高齢者グループホーム）に入居した。入居後、本人の同意のもとに短期目標を、「食事の準備に参加する」と設定し、順調に経過していた。ある日、Ｄさんが夕食の準備に来なかった。翌日、担当する介護福祉職が居室を訪ねて理由を聞くと、「盛り付けの見た目が・・・」と小声で言った。当日のＤさんの記録を見ると、「お茶を配ると席に座ったが、すぐに立ち上がり、料理を皿に盛り付けるＥさんの手元を見ていた」「配膳された料理を見て、ため息をついた」とあった。その後、食事の準備には参加していないが、早く来て様子を見ている。また、食事中は談笑し、食事も完食している。以上のことから再アセスメントを行うことになった。, 〔問題〕カンファレンス（conference）が開かれ、Ｄさんの支援について検討することになった。Ｄさんを担当する介護福祉職が提案する内容として、最も優先すべきものを１つ選びなさい。",4 正解,食事の準備の役割を見直すこと。,Ｄさんに料理の盛り付けを任せてみるなど、食事の準備の役割を見直すことは、Ｄさんが食事の準備に再び加わるきっかけになるかもしれない。提案する内容として適切である。,
第34回：令和３年度（2022年）,問題68 介護過程,"次の事例を読んで、問いに答えなさい。, 〔事例：問題67、問題68〕Ｄさん（73歳、女性、要介護２）は、認知症対応型共同生活介護（認知症高齢者グループホーム）に入居した。入居後、本人の同意のもとに短期目標を、「食事の準備に参加する」と設定し、順調に経過していた。ある日、Ｄさんが夕食の準備に来なかった。翌日、担当する介護福祉職が居室を訪ねて理由を聞くと、「盛り付けの見た目が・・・」と小声で言った。当日のＤさんの記録を見ると、「お茶を配ると席に座ったが、すぐに立ち上がり、料理を皿に盛り付けるＥさんの手元を見ていた」「配膳された料理を見て、ため息をついた」とあった。その後、食事の準備には参加していないが、早く来て様子を見ている。また、食事中は談笑し、食事も完食している。以上のことから再アセスメントを行うことになった。, 〔問題〕カンファレンス（conference）が開かれ、Ｄさんの支援について検討することになった。Ｄさんを担当する介護福祉職が提案する内容として、最も優先すべきものを１つ選びなさい。",5 不正解,食事以外の短期目標を設定すること。,「食事の準備に参加する」という短期目標は、食事の準備の役割を見直す対応をとる可能性があるため、変更する必要はない。,
第34回：令和３年度（2022年）,問題69 発達と老化の理解,愛着行動に関する次の記述のうち、ストレンジ・シチュエーション法における安定型の愛着行動として、適切なものを１つ選びなさい。,1 正解,養育者がいないと不安な様子になり、再会すると安心して再び遊び始める。,ストレンジ・シチュエーション法は、エインズワースなどが提唱した愛着行動を分類する方法である。乳幼児の反応によって、安定型、葛藤型（抵抗型／アンビバレント型）、回避型、無秩序型の４つに分類する。養育者がいないと不安な様子になり、再会すると安心して再び遊び始めるのは、安定型の愛着行動である。,
第34回：令和３年度（2022年）,問題69 発達と老化の理解,愛着行動に関する次の記述のうち、ストレンジ・シチュエーション法における安定型の愛着行動として、適切なものを１つ選びなさい。,2 不正解,養育者がいないと不安な様子になり、再会すると接近して怒りを示す。,養育者がいないと不安な様子になり、再会すると接近して怒りを示すのは、葛藤型（抵抗型／アンビバレント型）の愛着行動である。,
第34回：令和３年度（2022年）,問題69 発達と老化の理解,愛着行動に関する次の記述のうち、ストレンジ・シチュエーション法における安定型の愛着行動として、適切なものを１つ選びなさい。,3 不正解,養育者がいないと不安な様子になり、再会すると関心を示さずに遊んでいる。,養育者がいないと不安な様子になり、再会すると関心を示さずに遊んでいるのは、無秩序型の愛着行動である。,
第34回：令和３年度（2022年）,問題69 発達と老化の理解,愛着行動に関する次の記述のうち、ストレンジ・シチュエーション法における安定型の愛着行動として、適切なものを１つ選びなさい。,4 不正解,養育者がいなくても不安な様子にならず、再会すると関心を示さずに遊んでいる。,養育者がいなくても不安な様子にならず、再会すると関心を示さずに遊んでいるのは、回避型の愛着行動である。,
第34回：令和３年度（2022年）,問題69 発達と老化の理解,愛着行動に関する次の記述のうち、ストレンジ・シチュエーション法における安定型の愛着行動として、適切なものを１つ選びなさい。,5 不正解,養育者がいなくても不安な様子にならず、再会すると喜んで遊び続ける。,養育者がいなくても不安な様子にならず、再会すると喜んで遊び続けるのは、無秩序型の愛着行動である。,
第34回：令和３年度（2022年）,問題70 発達と老化の理解,乳幼児期の言語発達に関する次の記述のうち、最も適切なものを１つ選びなさい。,1 不正解,生後６か月ごろに初語を発するようになる。,初語は、子どもが初めて発する意味のある言葉をいう。初語を発するようになるのは、１歳前後である。,
第34回：令和３年度（2022年）,問題70 発達と老化の理解,乳幼児期の言語発達に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 不正解,１歳ごろに喃語（なんご）を発するようになる。,喃語は、「アウー」「バブバブ」というような言葉にならない声をいう。生後６か月頃に発するようになる。,
第34回：令和３年度（2022年）,問題70 発達と老化の理解,乳幼児期の言語発達に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 正解,１歳半ごろに語彙爆発が起きる。,語彙爆発は、自発的に発することができる単語が50語くらいになると、急激に言葉を発するようになる現象をいう。１歳半頃にみられる。,
第34回：令和３年度（2022年）,問題70 発達と老化の理解,乳幼児期の言語発達に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 不正解,２歳半ごろに一語文を話すようになる。,一語文は、「マンマ」のような一語で、「ごはん」「食べたい」というように複数の意味をもつ言葉をいう。１歳前後でみられる。,
第34回：令和３年度（2022年）,問題70 発達と老化の理解,乳幼児期の言語発達に関する次の記述のうち、最も適切なものを１つ選びなさい。,5 不正解,３歳ごろに二語文を話すようになる。,二語文は、２つの単語をつなげた言葉をいう。１歳半から２歳頃にみられる。,
第34回：令和３年度（2022年）,問題71 発達と老化の理解,2019年（平成31年、令和元年）における、我が国の寿命と死因に関する次の記述のうち、正しいものを１つ選びなさい。,1 不正解,健康寿命は、平均寿命よりも長い。,健康寿命とは、健康的に、自立して暮らすことができる期間をいう。「令和元年簡易生命表」（厚生労働省）によると、2019年（平成31年、令和元年）の平均寿命は、男性が81.41歳、女性が87.45歳である。一方、健康寿命は、男性72.68歳、女性が75.38歳である。平均寿命のほうが長い。,
第34回：令和３年度（2022年）,問題71 発達と老化の理解,2019年（平成31年、令和元年）における、我が国の寿命と死因に関する次の記述のうち、正しいものを１つ選びなさい。,2 不正解,人口全体の死因順位では、老衰が悪性新生物より上位である。,「令和元年（2019）人口動態統計（確定数）」（厚生労働省）によると、人口全体の死因順位は、第１位が悪性新生物、第２位が心疾患、第３位が老衰、第４位が脳血管疾患の順である。悪性新生物のほうが上位である。,
第34回：令和３年度（2022年）,問題71 発達と老化の理解,2019年（平成31年、令和元年）における、我が国の寿命と死因に関する次の記述のうち、正しいものを１つ選びなさい。,3 不正解,人口全体の死因で最も多いのは、脳血管障害（cerebrovasculardisorder）である。,選択肢２の解説のとおり、人口全体の死因で最も多いのは悪性新生物である。脳血管障害（cerebrovasculardisorder）（脳血管疾患）は、第４位である。,
第34回：令和３年度（2022年）,問題71 発達と老化の理解,2019年（平成31年、令和元年）における、我が国の寿命と死因に関する次の記述のうち、正しいものを１つ選びなさい。,4 不正解,平均寿命は、男女とも75歳未満である。,平均寿命は、選択肢１の解説のとおり、男女ともに80歳以上である。,
第34回：令和３年度（2022年）,問題71 発達と老化の理解,2019年（平成31年、令和元年）における、我が国の寿命と死因に関する次の記述のうち、正しいものを１つ選びなさい。,5 正解,90歳女性の平均余命は、５年以上である。,平均余命とは、ある年齢の人があと何年生きられるかを表した期待値である。「令和元年簡易生命表」（厚生労働省）によると、90歳女性の平均余命は、5.71年である。,
第34回：令和３年度（2022年）,問題72 発達と老化の理解,Ａさん（87歳、女性、要介護３）は、２週間前に介護老人福祉施設に入所した。Ａさんにはパーキンソン病（Parkinsondisease）があり、入所後に転倒したことがあった。介護職員は頻繁に、「危ないから車いすに座っていてくださいね」と声をかけていた。Ａさんは徐々に自分でできることも介護職員に依存し、着替えも手伝ってほしいと訴えるようになった。Ａさんに生じている適応（防衛）機制として、最も適切なものを１つ選びなさい。,1 不正解,投影,適応（防衛）機制とは、欲求が満たされない状態に長期間さらされると、心理的に不適応な状態になり、それを安心感や満足感などに転換して心の安定を得ようとする心のはたらきをいう。投影とは、自分の中で認めたくない欲求を否定して、それが他者の中にあるように考えることをいう。,
第34回：令和３年度（2022年）,問題72 発達と老化の理解,Ａさん（87歳、女性、要介護３）は、２週間前に介護老人福祉施設に入所した。Ａさんにはパーキンソン病（Parkinsondisease）があり、入所後に転倒したことがあった。介護職員は頻繁に、「危ないから車いすに座っていてくださいね」と声をかけていた。Ａさんは徐々に自分でできることも介護職員に依存し、着替えも手伝ってほしいと訴えるようになった。Ａさんに生じている適応（防衛）機制として、最も適切なものを１つ選びなさい。,2 正解,退行,退行は、今起きている問題を避けようとして、過去に戻ろうとすることをいう。Ａさんは転倒したことで、介護職員から頻繁に車いすに座っているように声をかけられ、発達段階に戻ってしまい、できることまで他人に依存するようになった。これは退行である。,
第34回：令和３年度（2022年）,問題72 発達と老化の理解,Ａさん（87歳、女性、要介護３）は、２週間前に介護老人福祉施設に入所した。Ａさんにはパーキンソン病（Parkinsondisease）があり、入所後に転倒したことがあった。介護職員は頻繁に、「危ないから車いすに座っていてくださいね」と声をかけていた。Ａさんは徐々に自分でできることも介護職員に依存し、着替えも手伝ってほしいと訴えるようになった。Ａさんに生じている適応（防衛）機制として、最も適切なものを１つ選びなさい。,3 不正解,攻撃,攻撃は、相手に対して感情をぶつけたり、暴力をふるったりすることをいう。他者に攻撃的になることである。,
第34回：令和３年度（2022年）,問題72 発達と老化の理解,Ａさん（87歳、女性、要介護３）は、２週間前に介護老人福祉施設に入所した。Ａさんにはパーキンソン病（Parkinsondisease）があり、入所後に転倒したことがあった。介護職員は頻繁に、「危ないから車いすに座っていてくださいね」と声をかけていた。Ａさんは徐々に自分でできることも介護職員に依存し、着替えも手伝ってほしいと訴えるようになった。Ａさんに生じている適応（防衛）機制として、最も適切なものを１つ選びなさい。,4 不正解,抑圧,抑圧は、自分が認めたくない欲求や感情、記憶を心の中に閉じ込めて、自分の意識の中から排除することをいう。,
第34回：令和３年度（2022年）,問題72 発達と老化の理解,Ａさん（87歳、女性、要介護３）は、２週間前に介護老人福祉施設に入所した。Ａさんにはパーキンソン病（Parkinsondisease）があり、入所後に転倒したことがあった。介護職員は頻繁に、「危ないから車いすに座っていてくださいね」と声をかけていた。Ａさんは徐々に自分でできることも介護職員に依存し、着替えも手伝ってほしいと訴えるようになった。Ａさんに生じている適応（防衛）機制として、最も適切なものを１つ選びなさい。,5 不正解,昇華,昇華は、社会が認めてくれない欲求を、社会的に価値が高い行動に置き換えて満足感を得ようとすることをいう。,
第34回：令和３年度（2022年）,問題73 発達と老化の理解,記憶に関する次の記述のうち、適切なものを１つ選びなさい。,1 不正解,エピソード記憶は、短期記憶に分類される。,記憶には長期記憶と短期記憶がある。長期記憶は、さらに、宣言的記憶（言語的な長期記憶。陳述記憶ともいう）と非宣言的記憶（言語によらない長期記憶。非陳述記憶ともいう）にわけられ、エピソード記憶は宣言的記憶に含まれる。このため、エピソード記憶は長期記憶である。,
第34回：令和３年度（2022年）,問題73 発達と老化の理解,記憶に関する次の記述のうち、適切なものを１つ選びなさい。,2 正解,意味記憶は、言葉の意味などに関する記憶である。,意味記憶は、言葉の意味やいろいろな知識に関する記憶である。エピソード記憶とともに、宣言的記憶に含まれる。,
第34回：令和３年度（2022年）,問題73 発達と老化の理解,記憶に関する次の記述のうち、適切なものを１つ選びなさい。,3 不正解,手続き記憶は、過去の出来事に関する記憶である。,手続き記憶は、過去に実際に体験し、体で覚えている記憶をいう。たとえば、自転車に乗る、スキーで滑るなどが該当する。非宣言的記憶に含まれる。,
第34回：令和３年度（2022年）,問題73 発達と老化の理解,記憶に関する次の記述のうち、適切なものを１つ選びなさい。,4 不正解,エピソード記憶は、老化に影響されにくい。,エピソード記憶は、何かの手がかりがあると思い出しやすくなるものの、高齢者では老化にともなって低下しやすいとされている。20歳代と60歳代を比較すると、半分程度まで低下する。,
第34回：令和３年度（2022年）,問題73 発達と老化の理解,記憶に関する次の記述のうち、適切なものを１つ選びなさい。,5 不正解,意味記憶は、老化に影響されやすい。,意味記憶は、一般的に老化による影響を受けにくく、高齢になっても低下しにくいとされている。,
第34回：令和３年度（2022年）,問題74 発達と老化の理解,老化に伴う感覚機能や認知機能の変化に関する次の記述のうち、最も適切なものを１つ選びなさい。,1 正解,大きな声で話しかけられても、かえって聞こえにくいことがある。,聞こえにくいからと大声で話しかけられても、かえって聞こえにくいことがある。とくに感音性難聴の場合には、大声で話しかけるのは有効ではない。,
第34回：令和３年度（2022年）,問題74 発達と老化の理解,老化に伴う感覚機能や認知機能の変化に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 不正解,会話をしながら運転するほうが、安全に運転できるようになる。,会話をしながらの運転では、集中できず安全に運転できない。高齢になると、注意機能の低下によって、複数のことを同時に行うことが難しくなる。,
第34回：令和３年度（2022年）,問題74 発達と老化の理解,老化に伴う感覚機能や認知機能の変化に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 不正解,白と黄色よりも、白と赤の区別がつきにくくなる。,高齢になると視覚機能の低下によって、白と黄色のようにはっきりとしない色の組み合わせの区別がつきにくくなる。白と赤のようにはっきりとした色の組み合わせのほうが、区別がつきやすい。,
第34回：令和３年度（2022年）,問題74 発達と老化の理解,老化に伴う感覚機能や認知機能の変化に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 不正解,低い声よりも、高い声のほうが聞き取りやすくなる。,高齢者の難聴は感音性難聴が多く、高い音域から聞こえにくくなる。高い声のほうが聞き取りやすいとするのは、適切ではない。,
第34回：令和３年度（2022年）,問題74 発達と老化の理解,老化に伴う感覚機能や認知機能の変化に関する次の記述のうち、最も適切なものを１つ選びなさい。,5 不正解,薄暗い部屋のほうが、細かい作業をしやすくなる。,視覚機能の低下によって、薄暗い部屋では物が見えにくくなり、細かい作業は難しくなる。薄暗い部屋のほうが、細かい作業がしやすくなるとするのは適切ではない。,
第34回：令和３年度（2022年）,問題75 発達と老化の理解,高齢者の睡眠に関する次の記述のうち、適切なものを１つ選びなさい。,1 不正解,午前中の遅い時間まで眠ることが多い。,高齢者の場合、夜間や早朝に目覚めることが多く、午前中の遅い時間まで眠ることは少ない。睡眠不足のために、昼寝が多くなり、夜間に眠れなくなることにつながる。,
第34回：令和３年度（2022年）,問題75 発達と老化の理解,高齢者の睡眠に関する次の記述のうち、適切なものを１つ選びなさい。,2 不正解,刺激を与えても起きないような深い睡眠が多い。,高齢者の場合、睡眠の質が低下して、深い睡眠が少なくなる。浅い睡眠が多くなり、熟睡感を得にくくなる。,
第34回：令和３年度（2022年）,問題75 発達と老化の理解,高齢者の睡眠に関する次の記述のうち、適切なものを１つ選びなさい。,3 不正解,睡眠障害を自覚することは少ない。,高齢になると、眠っていても眠れないという訴えが多くなる。睡眠障害を自覚することが少ないというのは、適切ではない。,
第34回：令和３年度（2022年）,問題75 発達と老化の理解,高齢者の睡眠に関する次の記述のうち、適切なものを１つ選びなさい。,4 正解,不眠の原因の１つはメラトニン（melatonin）の減少である。,メラトニン（melatonin）は睡眠ホルモンと呼ばれ、高齢になると分泌量が減少する。このため、深いノンレム睡眠が減少して、浅いノンレム睡眠が増加する。夜中に何回も目が覚める中途覚醒が増えたり、小さな音でも目が覚めたりするのは、メラトニンの減少も理由の一つである。,
第34回：令和３年度（2022年）,問題75 発達と老化の理解,高齢者の睡眠に関する次の記述のうち、適切なものを１つ選びなさい。,5 不正解,高齢者の睡眠時無呼吸症候群（sleepapneasyndrome）の発生頻度は、若年者よりも低い。,睡眠時無呼吸症候群（sleepapneasyndrome）は年齢に関係なく生じるが、高齢者の方が若年者より発生頻度が高い。また、肥満している男性に多くみられる。,
第34回：令和３年度（2022年）,問題76 発達と老化の理解,高齢者の肺炎（pneumonia）に関する次の記述のうち、最も適切なものを１つ選びなさい。,1 不正解,意識障害になることはない。,高齢者の肺炎（pneumonia）では、病状が急変して、意識障害やショック症状などがみられることがある。,
第34回：令和３年度（2022年）,問題76 発達と老化の理解,高齢者の肺炎（pneumonia）に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 不正解,体温が37.5℃未満であれば肺炎（pneumonia）ではない。,高齢者の場合、肺炎の典型的な症状がみられないことが多い。このため、高熱が出ないこともあり、体温が37.5℃未満だから肺炎ではないとは断定できない。,
第34回：令和３年度（2022年）,問題76 発達と老化の理解,高齢者の肺炎（pneumonia）に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 不正解,頻呼吸になることは、まれである。,高齢者の肺炎の場合、早い段階で呼吸数が増加したり、呼吸パターンに変化がみられる。頻呼吸になることは、まれであるとするのは適切ではない。,
第34回：令和３年度（2022年）,問題76 発達と老化の理解,高齢者の肺炎（pneumonia）に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 正解,誤嚥（ごえん）による肺炎（pneumonia）を起こしやすい。,高齢者の場合、食事や飲み物が誤って気管に入る誤嚥がよくみられる。このため、誤嚥性肺炎を起こしやすい。,
第34回：令和３年度（2022年）,問題76 発達と老化の理解,高齢者の肺炎（pneumonia）に関する次の記述のうち、最も適切なものを１つ選びなさい。,5 不正解,咳（せき）・痰（たん）などを伴うことは、まれである。,高齢者の肺炎であっても、咳や痰を伴うことはある。まれであるとするのは適切ではない。,
第34回：令和３年度（2022年）,問題77 認知症の理解,認知症ケアにおける「ひもときシート」に関する次の記述のうち、最も適切なものを１つ選びなさい。,1 不正解,「ひもときシート」では、最初に分析的理解を行う。,ひもときシートは、評価的理解→分析的理解→共感的理解の３段階を経て行うように構成されている。最初に分析的理解を行うのは適切ではない。,
第34回：令和３年度（2022年）,問題77 認知症の理解,認知症ケアにおける「ひもときシート」に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 不正解,認知症（dementia）の人の言動を介護者側の視点でとらえる。,ひもときシートの役割として、認知症（dementia）の人の言動を、介護者の視点から認知症の人の視点に切り替えることができる。最初は、認知症の人の言動に振り回されていても、３段階のステップを踏むことで、最後には認知症の人の気持ちに共感できるようになる。,
第34回：令和３年度（2022年）,問題77 認知症の理解,認知症ケアにおける「ひもときシート」に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 正解,言動の背景要因を分析して認知症（dementia）の人を理解するためのツールである。,認知症の人の言動には、その言葉を発するようになる背景がある。この背景を分析する方法として、ひもときシートがある。,
第34回：令和３年度（2022年）,問題77 認知症の理解,認知症ケアにおける「ひもときシート」に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 不正解,評価的理解では、潜在的なニーズを重視する。,評価的理解の段階では、介護者が感じている課題、介護者が考える対応方法を自分で記入することによって、介護者が自分の気持ちと向き合うことを重視する。,
第34回：令和３年度（2022年）,問題77 認知症の理解,認知症ケアにおける「ひもときシート」に関する次の記述のうち、最も適切なものを１つ選びなさい。,5 不正解,共感的理解では、８つの要因で言動を分析する。,共感的理解では、認知症の人の視点から課題の解決を考えられるように、介護者が考え方を展開していく。８つの要因で言動を分析するのは、分析的理解の段階である。,
第34回：令和３年度（2022年）,問題78 認知症の理解,レビー小体型認知症（dementiawithLewybodies）の幻視の特徴に関する次の記述のうち、最も適切なものを１つ選びなさい。,1 不正解,幻視の内容はあいまいではっきりしない。,レビー小体型認知症（dementiawithLewybodies）で現れる幻視の内容は、明確にはっきりとしたものである。他の人には見えないが、本人には犬がそばにいたり、知らない人が横にいるのが、はっきりと見えている。,
第34回：令和３年度（2022年）,問題78 認知症の理解,レビー小体型認知症（dementiawithLewybodies）の幻視の特徴に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 不正解,睡眠中でも幻視が生じる。,レビー小体型認知症では、睡眠中に大声を出したり、手足を大きく動かすなどの異常行動がみられるが、これは睡眠中に幻視が現れているのではなく、レム睡眠行動障害によるものである。,
第34回：令和３年度（2022年）,問題78 認知症の理解,レビー小体型認知症（dementiawithLewybodies）の幻視の特徴に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 不正解,本人は説明されても幻視という認識ができない。,幻視ではないと説明すると、納得することもある。このため、説明されても幻視という認識ができないとするのは、適切ではない。,
第34回：令和３年度（2022年）,問題78 認知症の理解,レビー小体型認知症（dementiawithLewybodies）の幻視の特徴に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 正解,薄暗い部屋を明るくすると幻視が消えることがある。,部屋が暗い、夜になって周囲が暗くなったことなどを理由に、幻視が生じることが多い。部屋を明るくすることで、幻視が消えることがある。,
第34回：令和３年度（2022年）,問題78 認知症の理解,レビー小体型認知症（dementiawithLewybodies）の幻視の特徴に関する次の記述のうち、最も適切なものを１つ選びなさい。,5 不正解,抗精神病薬による治療が行われることが多い。,レビー小体型認知症の治療に、抗精神病薬が使用されることもあるが、抗精神病薬が効きすぎることが特徴であるため、非薬物療法や漢方の使用が優先される。抗精神病薬による治療が多いとするのは、適切ではない。,
第34回：令和３年度（2022年）,問題79 認知症の理解,軽度認知障害（mildcognitiveimpairment）に関する次の記述のうち、最も適切なものを１つ選びなさい。,1 正解,本人や家族から記憶低下の訴えがあることが多い。,軽度認知障害（mildcognitiveimpairment）では、なんとなく思い出せないなどの記憶低下がきっかけとなって、本人や家族が認知症ではと疑って受診することが多い。,
第34回：令和３年度（2022年）,問題79 認知症の理解,軽度認知障害（mildcognitiveimpairment）に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 不正解,診断された人の約半数がその後１年の間に認知症（dementia）になる。,軽度認知障害から認知症（dementia）に移行する人の割合は、１年で10％程度とされている。診断された人の約半数が、その後１年の間に認知症になるとするのは適切ではない。,
第34回：令和３年度（2022年）,問題79 認知症の理解,軽度認知障害（mildcognitiveimpairment）に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 不正解,CDR（ClinicalDementiaRating）のスコアが２である。,CDR（ClinicalDementiaRating）は臨床的認知症尺度のことで、認知症の重症度を判定する評価基準である、軽度認知障害のスコアは、CDR0.5とされている。CDRスコア2は、中等度認知症である。,
第34回：令和３年度（2022年）,問題79 認知症の理解,軽度認知障害（mildcognitiveimpairment）に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 不正解,日常生活能力が低下している。,軽度認知障害では、物忘れなど記憶の低下はみられるが、日常生活への影響はほとんどない。日常生活能力が低下しているとするのは、適切ではない。,
